Num,Label,Value,Parm_StDev
121,Size_DblN_descend_se_Srv(4)_BLK1repl_1991,3.27883,67.966
122,Size_DblN_start_logit_Srv(4)_BLK1repl_1991,-8.78091,23.667
123,Size_DblN_peak_FshTrawl(1)_DEVmult_1991,-1.72615,0.548934
124,Size_DblN_peak_FshTrawl(1)_DEVmult_1992,-2.59409,0.385889
125,Size_DblN_peak_FshTrawl(1)_DEVmult_1993,0.0104044,0.410355
126,Size_DblN_peak_FshTrawl(1)_DEVmult_1994,-0.732926,0.46378
127,Size_DblN_peak_FshTrawl(1)_DEVmult_1995,0.752763,0.596111
128,Size_DblN_peak_FshTrawl(1)_DEVmult_1996,0.102619,0.51133
129,Size_DblN_peak_FshTrawl(1)_DEVmult_1997,0.408486,0.444297
130,Size_DblN_peak_FshTrawl(1)_DEVmult_1998,0.417289,0.460077
131,Size_DblN_peak_FshTrawl(1)_DEVmult_1999,-0.205385,0.386276
132,Size_DblN_peak_FshTrawl(1)_DEVmult_2000,0.899051,0.401278
133,Size_DblN_peak_FshTrawl(1)_DEVmult_2001,-0.84727,0.420107
134,Size_DblN_peak_FshTrawl(1)_DEVmult_2002,-0.586756,0.354843
135,Size_DblN_peak_FshTrawl(1)_DEVmult_2003,0.830252,0.37257
136,Size_DblN_peak_FshTrawl(1)_DEVmult_2004,1.10073,0.441191
137,Size_DblN_peak_FshTrawl(1)_DEVmult_2005,-0.0331028,0.455632
138,Size_DblN_peak_FshTrawl(1)_DEVmult_2006,0.898909,0.475776
139,Size_DblN_peak_FshTrawl(1)_DEVmult_2007,0.729804,0.374747
140,Size_DblN_peak_FshTrawl(1)_DEVmult_2008,1.10611,0.451923
141,Size_DblN_peak_FshTrawl(1)_DEVmult_2009,0.607104,0.414433
142,Size_DblN_peak_FshTrawl(1)_DEVmult_2010,0.276467,0.385818
143,Size_DblN_peak_FshTrawl(1)_DEVmult_2011,0.220255,0.446524
144,Size_DblN_peak_FshTrawl(1)_DEVmult_2012,-0.364139,0.564894
145,Size_DblN_peak_FshTrawl(1)_DEVmult_2013,-0.306186,0.463518
146,Size_DblN_peak_FshTrawl(1)_DEVmult_2014,0.324869,0.482216
147,Size_DblN_peak_FshTrawl(1)_DEVmult_2015,1.44634,0.537614
148,Size_DblN_peak_FshTrawl(1)_DEVmult_2016,0.116664,0.491475
149,Size_DblN_peak_FshTrawl(1)_DEVmult_2017,0.426503,0.486521
150,Size_DblN_peak_FshTrawl(1)_DEVmult_2018,-0.267007,0.506904
151,Size_DblN_peak_FshTrawl(1)_DEVmult_2019,-0.788251,0.543978
152,Size_DblN_peak_FshTrawl(1)_DEVmult_2020,-0.630633,0.856873
153,Size_DblN_peak_FshTrawl(1)_DEVmult_2021,-0.788644,0.846132
154,Size_DblN_peak_FshTrawl(1)_DEVmult_2022,-0.803553,0.779335
155,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1991,-0.184734,0.826352
156,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1992,-1.12335,0.64672
