"Label","Total"
"TOTAL","1574.42"
"Catch","2.03854e-11"
"Equil catch","0"
"Survey","34.4608"
"Length comp","394.566"
"Age comp","894.256"
"Size at age","226.877"
"Recruitment","0.0560826"
"InitEQ Regime","0"
"Forecast Recruitment","2.03625"
"Parm priors","1.36278"
"Parm softbounds","0.00449001"
"Parm devs","20.8011"
"Crash Pen","0"
