Num,Label,Value,Parm_StDev
117,Size_DblN_peak_FshComb(1)_DEVmult_2010,1.08123,0.439332
118,Size_DblN_peak_FshComb(1)_DEVmult_2011,0.677261,0.500182
119,Size_DblN_peak_FshComb(1)_DEVmult_2012,0.0724796,0.622123
120,Size_DblN_peak_FshComb(1)_DEVmult_2013,0.630319,0.489981
121,Size_DblN_peak_FshComb(1)_DEVmult_2014,0.883835,0.520128
122,Size_DblN_peak_FshComb(1)_DEVmult_2015,1.21106,0.554277
123,Size_DblN_peak_FshComb(1)_DEVmult_2016,0.701884,0.543348
124,Size_DblN_peak_FshComb(1)_DEVmult_2017,0.416027,0.514035
125,Size_DblN_peak_FshComb(1)_DEVmult_2018,-0.477948,0.573993
126,Size_DblN_peak_FshComb(1)_DEVmult_2019,-0.635434,0.583762
127,Size_DblN_peak_FshComb(1)_DEVmult_2020,-2.26038,0.423307
128,Size_DblN_peak_FshComb(1)_DEVmult_2021,-1.36077,0.645302
129,Size_DblN_peak_FshComb(1)_DEVmult_2022,0.188411,0.70734
130,Size_DblN_ascend_se_FshComb(1)_DEVmult_1991,-0.893246,0.743507
131,Size_DblN_ascend_se_FshComb(1)_DEVmult_1992,-0.89154,0.662863
132,Size_DblN_ascend_se_FshComb(1)_DEVmult_1993,-0.0778692,0.613517
133,Size_DblN_ascend_se_FshComb(1)_DEVmult_1994,-0.290022,0.651904
134,Size_DblN_ascend_se_FshComb(1)_DEVmult_1995,0.655441,0.545079
135,Size_DblN_ascend_se_FshComb(1)_DEVmult_1996,0.456648,0.506959
136,Size_DblN_ascend_se_FshComb(1)_DEVmult_1997,0.331592,0.587181
137,Size_DblN_ascend_se_FshComb(1)_DEVmult_1998,0.254025,0.529739
138,Size_DblN_ascend_se_FshComb(1)_DEVmult_1999,-0.405388,0.508022
139,Size_DblN_ascend_se_FshComb(1)_DEVmult_2000,0.886607,0.414408
140,Size_DblN_ascend_se_FshComb(1)_DEVmult_2001,-1.0385,0.604419
141,Size_DblN_ascend_se_FshComb(1)_DEVmult_2002,-0.762026,0.526136
142,Size_DblN_ascend_se_FshComb(1)_DEVmult_2003,0.33041,0.452394
143,Size_DblN_ascend_se_FshComb(1)_DEVmult_2004,0.95643,0.481627
144,Size_DblN_ascend_se_FshComb(1)_DEVmult_2005,-0.482907,0.582724
145,Size_DblN_ascend_se_FshComb(1)_DEVmult_2006,0.452335,0.607737
146,Size_DblN_ascend_se_FshComb(1)_DEVmult_2007,0.54768,0.481958
147,Size_DblN_ascend_se_FshComb(1)_DEVmult_2008,0.947989,0.482051
148,Size_DblN_ascend_se_FshComb(1)_DEVmult_2009,0.552295,0.508362
149,Size_DblN_ascend_se_FshComb(1)_DEVmult_2010,0.77901,0.432521
150,Size_DblN_ascend_se_FshComb(1)_DEVmult_2011,-0.021097,0.579356
151,Size_DblN_ascend_se_FshComb(1)_DEVmult_2012,-0.383626,0.77276
152,Size_DblN_ascend_se_FshComb(1)_DEVmult_2013,-0.354873,0.614281
153,Size_DblN_ascend_se_FshComb(1)_DEVmult_2014,-0.29793,0.648594
154,Size_DblN_ascend_se_FshComb(1)_DEVmult_2015,1.51518,0.503618
155,Size_DblN_ascend_se_FshComb(1)_DEVmult_2016,-0.0590454,0.646365
156,Size_DblN_ascend_se_FshComb(1)_DEVmult_2017,0.43897,0.556999
157,Size_DblN_ascend_se_FshComb(1)_DEVmult_2018,0.113612,0.649742
158,Size_DblN_ascend_se_FshComb(1)_DEVmult_2019,-0.537431,0.732593
159,Size_DblN_ascend_se_FshComb(1)_DEVmult_2020,-2.18825,0.747482
160,Size_DblN_ascend_se_FshComb(1)_DEVmult_2021,-0.799046,0.813394
161,Size_DblN_ascend_se_FshComb(1)_DEVmult_2022,0.264644,0.74495
162,Size_DblN_descend_se_FshComb(1)_DEVmult_1991,1.32E-06,1
163,Size_DblN_descend_se_FshComb(1)_DEVmult_1992,1.18E-06,1
164,Size_DblN_descend_se_FshComb(1)_DEVmult_1993,4.69E-07,1
165,Size_DblN_descend_se_FshComb(1)_DEVmult_1994,9.59E-07,1
166,Size_DblN_descend_se_FshComb(1)_DEVmult_1995,4.43E-07,1
167,Size_DblN_descend_se_FshComb(1)_DEVmult_1996,2.22E-07,1
168,Size_DblN_descend_se_FshComb(1)_DEVmult_1997,2.76E-07,1
169,Size_DblN_descend_se_FshComb(1)_DEVmult_1998,-1.75E-07,1
170,Size_DblN_descend_se_FshComb(1)_DEVmult_1999,-1.54E-07,1
171,Size_DblN_descend_se_FshComb(1)_DEVmult_2000,2.73E-07,1
172,Size_DblN_descend_se_FshComb(1)_DEVmult_2001,-3.58E-06,1
173,Size_DblN_descend_se_FshComb(1)_DEVmult_2002,5.39E-07,1
174,Size_DblN_descend_se_FshComb(1)_DEVmult_2003,2.45E-07,1
175,Size_DblN_descend_se_FshComb(1)_DEVmult_2004,3.08E-07,1
176,Size_DblN_descend_se_FshComb(1)_DEVmult_2005,4.05E-08,1
177,Size_DblN_descend_se_FshComb(1)_DEVmult_2006,-9.13E-07,1
178,Size_DblN_descend_se_FshComb(1)_DEVmult_2007,7.87E-07,1
179,Size_DblN_descend_se_FshComb(1)_DEVmult_2008,6.42E-08,1
180,Size_DblN_descend_se_FshComb(1)_DEVmult_2009,-1.65E-07,1
181,Size_DblN_descend_se_FshComb(1)_DEVmult_2010,7.76E-08,1
182,Size_DblN_descend_se_FshComb(1)_DEVmult_2011,8.09E-07,1
183,Size_DblN_descend_se_FshComb(1)_DEVmult_2012,-4.31E-07,1
184,Size_DblN_descend_se_FshComb(1)_DEVmult_2013,2.43E-07,1
185,Size_DblN_descend_se_FshComb(1)_DEVmult_2014,1.08E-07,1
186,Size_DblN_descend_se_FshComb(1)_DEVmult_2015,9.55E-08,1
187,Size_DblN_descend_se_FshComb(1)_DEVmult_2016,-5.57E-07,1
188,Size_DblN_descend_se_FshComb(1)_DEVmult_2017,-1.70E-07,1
189,Size_DblN_descend_se_FshComb(1)_DEVmult_2018,-5.19E-07,1
190,Size_DblN_descend_se_FshComb(1)_DEVmult_2019,-6.85E-08,1
191,Size_DblN_descend_se_FshComb(1)_DEVmult_2020,2.97E-08,1
192,Size_DblN_descend_se_FshComb(1)_DEVmult_2021,-7.86E-07,1
193,Size_DblN_descend_se_FshComb(1)_DEVmult_2022,-7.13E-08,1
