"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2023,25313.2,0.233881235505539,108231,43292.4,37880.85,0.235291,0.287383,9071.87,10908
"2",2024,27978.05,0.258503109090741,108231,43292.4,37880.85,0.26296,0.471831,11385.9,17237.5
