"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2023,44208.95,0.379733467329777,116421,46568.4,40747.35,0.443869,0.535932,29479.4,34562
"2",2024,38402.25,0.329856726879171,116421,46568.4,40747.35,0.325328,0.391278,19113,22507.1
